MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T00:00:00-0500,24,0,-,-,-,-, 1315,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T00:00:00-0500,24,0,-,-,-,-, 1435,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T02:00:00-0500,24,0,-,-,-,-,1336.983,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T02:00:00-0500,24,0,-,-,-,-, 1304,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T02:00:00-0500,24,0,-,-,-,-, 1461,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T04:00:00-0500,24,0,-,-,-,-,1338.021,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T04:00:00-0500,24,0,-,-,-,-, 1304,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T04:00:00-0500,24,0,-,-,-,-, 1455,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T06:00:00-0500,24,0,-,-,-,-,1341.213,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T06:00:00-0500,24,0,-,-,-,-, 1314,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T06:00:00-0500,24,0,-,-,-,-, 1450,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T08:00:00-0500,24,0,-,-,-,-,1360.846,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T08:00:00-0500,24,0,-,-,-,-, 1320,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T08:00:00-0500,24,0,-,-,-,-, 1459,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T10:00:00-0500,24,0,-,-,-,-,1359.492,1,Inlet,22.375,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T10:00:00-0500,24,0,-,-,-,-, 1324,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T10:00:00-0500,24,0,-,-,-,-, 1457,1,Inlet, 23,
