MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-15T00:00:00-0600,12,0,-,-,-,-, 1306,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-15T00:00:00-0600,12,0,-,-,-,-, 1500,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-16T00:00:00-0600,12,0,-,-,-,-,1370.360,1,Inlet,21.456,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-16T00:00:00-0600,12,0,-,-,-,-, 1309,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-16T00:00:00-0600,12,0,-,-,-,-, 1489,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-17T00:00:00-0600,12,0,-,-,-,-,1369.352,1,Inlet,21.472,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-17T00:00:00-0600,12,0,-,-,-,-, 1306,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-17T00:00:00-0600,12,0,-,-,-,-, 1495,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-18T00:00:00-0600,12,0,-,-,-,-,1376.864,1,Inlet,21.902,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-18T00:00:00-0600,12,0,-,-,-,-, 1310,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-18T00:00:00-0600,12,0,-,-,-,-, 1475,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-19T00:00:00-0600,12,0,-,-,-,-,1367.085,1,Inlet,21.909,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-19T00:00:00-0600,12,0,-,-,-,-, 1298,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-19T00:00:00-0600,12,0,-,-,-,-, 1478,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-20T00:00:00-0600,12,0,-,-,-,-,1367.426,1,Inlet,21.797,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-20T00:00:00-0600,12,0,-,-,-,-, 1299,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-20T00:00:00-0600,12,0,-,-,-,-, 1499,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-21T00:00:00-0600,12,0,-,-,-,-,1361.191,1,Inlet,21.307,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-21T00:00:00-0600,12,0,-,-,-,-, 1306,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-21T00:00:00-0600,12,0,-,-,-,-, 1475,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-22T00:00:00-0600,12,0,-,-,-,-,1370.008,1,Inlet,21.227,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-22T00:00:00-0600,12,0,-,-,-,-, 1304,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-22T00:00:00-0600,12,0,-,-,-,-, 1510,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-23T00:00:00-0600,12,0,-,-,-,-,1373.971,1,Inlet,21.309,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-23T00:00:00-0600,12,0,-,-,-,-, 1302,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-23T00:00:00-0600,12,0,-,-,-,-, 1486,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-24T00:00:00-0600,12,0,-,-,-,-,1368.565,1,Inlet,21.681,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-24T00:00:00-0600,12,0,-,-,-,-, 1303,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-24T00:00:00-0600,12,0,-,-,-,-, 1477,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-25T00:00:00-0600,12,0,-,-,-,-,1359.786,1,Inlet,21.610,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-25T00:00:00-0600,12,0,-,-,-,-, 1305,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-25T00:00:00-0600,12,0,-,-,-,-, 1480,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-26T00:00:00-0600,12,0,-,-,-,-,1356.493,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-26T00:00:00-0600,12,0,-,-,-,-, 1298,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-26T00:00:00-0600,12,0,-,-,-,-, 1464,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-27T00:00:00-0600,12,0,-,-,-,-,1369.309,1,Inlet,21.107,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-27T00:00:00-0600,12,0,-,-,-,-, 1305,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-27T00:00:00-0600,12,0,-,-,-,-, 1487,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-28T00:00:00-0600,12,0,-,-,-,-,1360.281,1,Inlet,21.052,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-28T00:00:00-0600,12,0,-,-,-,-, 1300,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-28T00:00:00-0600,12,0,-,-,-,-, 1471,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-29T00:00:00-0600,12,0,-,-,-,-,1367.057,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-29T00:00:00-0600,12,0,-,-,-,-, 1300,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-29T00:00:00-0600,12,0,-,-,-,-, 1495,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-30T00:00:00-0600,12,0,-,-,-,-,1373.778,1,Inlet,21.687,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-30T00:00:00-0600,12,0,-,-,-,-, 1304,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-30T00:00:00-0600,12,0,-,-,-,-, 1480,1,Inlet, 22,
